Device Time, Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Intake Air Temperature(°F),Speed (OBD)(mph)
24-May-2018 06:35:56.449,-0.01952458,0.1073852,0.88989621,-,14.06866074,132.80000305,650,0.00499964,85.49019623,75.19999695,0
24-May-2018 06:35:57.449,-0.0234295,0.1181237,0.86841917,-,14.06866074,132.80000305,650,0.00499964,85.09803772,75.19999695,0
24-May-2018 06:35:58.450,-0.0234295,0.11519502,0.89770603,-,14.06866074,132.80000305,662.5,0.00496107,85.09803772,75.19999695,0
24-May-2018 06:35:59.451,-0.01757212,0.11714748,0.88111019,-,14.06866074,132.80000305,650,0.00501697,85.09803772,75.19999695,0
24-May-2018 06:36:00.451,-0.01269098,0.11617125,0.88403887,-,14.06866074,132.80000305,650,0.00501697,85.09803772,75.19999695,0
24-May-2018 06:36:01.450,-0.01171475,0.1044565,0.8820864,-,14.06866074,132.80000305,650,0.00489953,85.09803772,75.19999695,0
24-May-2018 06:36:02.451,-0.0302631,0.1210524,0.87037164,-,14.06866074,132.80000305,662.5,0.00480658,85.09803772,75.19999695,0
24-May-2018 06:36:03.450,-0.02440573,0.10640897,0.89282489,-,14.06866074,132.80000305,662.5,0.00480658,85.09803772,75.19999695,0
24-May-2018 06:36:04.450,-0.02050081,0.10836142,0.87427658,-,14.06866074,132.80000305,650,0.00488331,85.09803772,75.19999695,0
24-May-2018 06:36:05.450,-0.01854835,0.11226633,0.88892001,-,14.06866074,132.80000305,650,0.00484758,85.09803772,75.19999695,0
24-May-2018 06:36:06.451,-0.01269098,0.10152781,0.88013393,-,14.06866074,132.80000305,650,0.00484758,85.09803772,75.19999695,0
24-May-2018 06:36:07.450,-0.02538195,0.11909994,0.87330031,-,14.06866074,132.80000305,662.5,0.0048611,85.09803772,75.19999695,0
24-May-2018 06:36:08.451,-0.02831064,0.11909994,0.8713479,-,14.06866074,134.6000061,662.5,0.00472566,85.09803772,75.19999695,0
24-May-2018 06:36:09.450,-0.02538195,0.11617125,0.88013393,-,14.06866074,134.6000061,650,0.00472566,85.09803772,75.19999695,0
24-May-2018 06:36:10.450,-0.02050081,0.10933765,0.87818146,-,14.06866074,134.6000061,637.5,0.00478273,85.09803772,75.19999695,0
24-May-2018 06:36:11.449,-0.00488114,0.10348027,0.87720525,-,14.06866074,134.6000061,637.5,0.00478273,85.09803772,75.19999695,0
24-May-2018 06:36:12.450,-0.01464343,0.10640897,0.8820864,-,14.06866074,134.6000061,637.5,0.00471788,85.09803772,75.19999695,0
