Device Time, G(x),GPS Latitude(°),GPS Longitude(°)
6/9/2018 8:16 AM,0.95,33.04,-116.87
6/9/2018 8:16 AM,0.54,33.04,-116.87
6/9/2018 8:16 AM,0.14,33.04,-116.87
6/9/2018 8:16 AM,0.61,33.04,-116.87
6/9/2018 8:17 AM,0.19,33.04,-116.87
6/9/2018 8:17 AM,0.41,33.04,-116.87
6/9/2018 8:17 AM,-0.08,33.04,-116.87
6/9/2018 8:17 AM,0.81,33.04,-116.87
6/9/2018 8:17 AM,1.15,33.04,-116.87
6/9/2018 8:17 AM,0.3,33.04,-116.87
6/9/2018 8:17 AM,1.25,33.04,-116.87
6/9/2018 8:17 AM,0.71,33.04,-116.87
6/9/2018 8:17 AM,0.68,33.04,-116.87
6/9/2018 8:17 AM,0.74,33.04,-116.87
6/9/2018 8:17 AM,1.44,33.04,-116.87
6/9/2018 8:17 AM,1.17,33.04,-116.87
6/9/2018 8:17 AM,0.99,33.04,-116.87
6/9/2018 8:17 AM,0.57,33.04,-116.87
6/9/2018 8:17 AM,0.32,33.04,-116.87
6/9/2018 8:17 AM,0.88,33.04,-116.87
6/9/2018 8:17 AM,0.39,33.04,-116.87
6/9/2018 8:17 AM,0.56,33.04,-116.87
6/9/2018 8:17 AM,1.03,33.04,-116.87
6/9/2018 8:17 AM,0.73,33.04,-116.87
6/9/2018 8:17 AM,0.73,33.04,-116.87
6/9/2018 8:17 AM,0.68,33.04,-116.87
6/9/2018 8:17 AM,0.79,33.04,-116.87
6/9/2018 8:17 AM,0.83,33.04,-116.87
6/9/2018 8:17 AM,0.65,33.04,-116.87
6/9/2018 8:17 AM,0.82,33.04,-116.87
6/9/2018 8:17 AM,0.64,33.04,-116.87
6/9/2018 8:17 AM,0.75,33.04,-116.87
6/9/2018 8:17 AM,0.87,33.04,-116.87
6/9/2018 8:17 AM,0.77,33.04,-116.87
6/9/2018 8:17 AM,0.28,33.04,-116.87
6/9/2018 8:17 AM,0.69,33.04,-116.87
6/9/2018 8:17 AM,0.38,33.04,-116.87
6/9/2018 8:17 AM,0.21,33.04,-116.87
6/9/2018 8:17 AM,-0.21,33.04,-116.87
6/9/2018 8:17 AM,-0.94,33.04,-116.87
6/9/2018 8:17 AM,-1.64,33.04,-116.87
6/9/2018 8:17 AM,-1.8,33.04,-116.87
6/9/2018 8:17 AM,-2.64,33.04,-116.87
6/9/2018 8:17 AM,-0.64,33.04,-116.87
6/9/2018 8:17 AM,0.03,33.04,-116.87
6/9/2018 8:17 AM,-0.32,33.04,-116.87
6/9/2018 8:17 AM,-0.09,33.04,-116.87
6/9/2018 8:17 AM,1,33.04,-116.87
6/9/2018 8:17 AM,0.84,33.04,-116.87
6/9/2018 8:17 AM,-0.06,33.04,-116.87
6/9/2018 8:17 AM,-0.07,33.04,-116.87
6/9/2018 8:17 AM,0.92,33.04,-116.87
6/9/2018 8:17 AM,0.43,33.04,-116.87
6/9/2018 8:17 AM,0.4,33.04,-116.87
6/9/2018 8:17 AM,0.4,33.04,-116.87
6/9/2018 8:17 AM,1.13,33.04,-116.87
6/9/2018 8:17 AM,1.52,33.04,-116.87
6/9/2018 8:17 AM,0.44,33.04,-116.87
6/9/2018 8:17 AM,0.86,33.04,-116.87
6/9/2018 8:17 AM,-0.49,33.04,-116.87
6/9/2018 8:17 AM,0.13,33.04,-116.87
6/9/2018 8:17 AM,0.16,33.04,-116.87
6/9/2018 8:17 AM,0.46,33.04,-116.87
6/9/2018 8:17 AM,0.11,33.04,-116.87
6/9/2018 8:18 AM,0.54,33.04,-116.87
6/9/2018 8:18 AM,0.71,33.04,-116.87
6/9/2018 8:18 AM,0.04,33.04,-116.87
6/9/2018 8:18 AM,0.26,33.04,-116.87
6/9/2018 8:18 AM,0.53,33.04,-116.87
6/9/2018 8:18 AM,0.66,33.04,-116.87
6/9/2018 8:18 AM,2.5,33.04,-116.87
6/9/2018 8:18 AM,2.47,33.04,-116.87
6/9/2018 8:18 AM,2.05,33.04,-116.87
6/9/2018 8:18 AM,1.23,33.04,-116.87
6/9/2018 8:18 AM,0.57,33.04,-116.87
6/9/2018 8:18 AM,0.82,33.04,-116.87
6/9/2018 8:18 AM,0.84,33.04,-116.87
6/9/2018 8:18 AM,0.85,33.04,-116.87
6/9/2018 8:18 AM,0.22,33.04,-116.87
6/9/2018 8:18 AM,0.87,33.04,-116.87
6/9/2018 8:18 AM,1.07,33.04,-116.87
6/9/2018 8:18 AM,1.24,33.04,-116.87
6/9/2018 8:18 AM,1.11,33.04,-116.87
6/9/2018 8:18 AM,1.14,33.04,-116.87
6/9/2018 8:18 AM,0.41,33.04,-116.87
6/9/2018 8:18 AM,0.1,33.04,-116.87
6/9/2018 8:18 AM,-0.14,33.04,-116.87
6/9/2018 8:18 AM,0.09,33.04,-116.87
6/9/2018 8:18 AM,1.06,33.04,-116.87
6/9/2018 8:18 AM,0.98,33.04,-116.87
6/9/2018 8:18 AM,1.28,33.04,-116.87
6/9/2018 8:18 AM,0.57,33.04,-116.87
6/9/2018 8:18 AM,0.59,33.04,-116.87
6/9/2018 8:18 AM,-0.72,33.04,-116.87
6/9/2018 8:18 AM,-2.62,33.04,-116.87
6/9/2018 8:18 AM,-3.76,33.04,-116.87
6/9/2018 8:18 AM,-3.04,33.04,-116.87
6/9/2018 8:18 AM,-2.15,33.04,-116.87
6/9/2018 8:18 AM,-0.38,33.04,-116.87
6/9/2018 8:18 AM,-0.4,33.04,-116.87
6/9/2018 8:18 AM,-0.37,33.04,-116.87
6/9/2018 8:18 AM,-0.37,33.04,-116.87
6/9/2018 8:18 AM,-0.35,33.04,-116.87
6/9/2018 8:18 AM,-0.4,33.04,-116.87
6/9/2018 8:18 AM,-0.53,33.04,-116.87
6/9/2018 8:18 AM,-0.46,33.04,-116.87
6/9/2018 8:18 AM,-0.31,33.04,-116.87
6/9/2018 8:18 AM,-0.57,33.04,-116.87
6/9/2018 8:18 AM,-0.43,33.04,-116.87
6/9/2018 8:18 AM,-0.37,33.04,-116.87
